murky	8 (6) 
mushy	7 (1) 
music	8 (5) 
musky	7 (1) 
musty	7 (1) 
myrrh	8 (11) 
nadir	9 (6) 
naive	9 (9) 
nanny	8 (14) 
nasal	8 (8) 
nasty	7 (2) 
natal	6 (0) 
naval	8 (4) 
navel	9 (12) 
needy	9 (6) 
neigh	8 (3) 
nerdy	8 (4) 
nerve	7 (1) 
never	9 (3) 
newer	9 (6) 
newly	7 (6) 
nicer	8 (10) 
niche	8 (6) 
niece	7 (1) 
night	7 (3) 
ninja	9 (8) 
ninny	8 (12) 
ninth	9 (6) 
noble	8 (5) 
nobly	7 (3) 
noise	9 (8) 
noisy	7 (5) 
nomad	8 (2) 
noose	7 (4) 
north	8 (5) 
nosey	8 (3) 
notch	7 (2) 
novel	9 (11) 
nudge	9 (3) 
nurse	7 (1) 
nutty	8 (6) 
nylon	7 (3) 
nymph	6 (0) 
oaken	9 (7) 
obese	7 (3) 
occur	9 (4) 
ocean	6 (0) 
octal	7 (4) 
octet	9 (6) 
odder	10 (10) 
oddly	8 (3) 
offal	7 (3) 
offer	10 (17) 
often	8 (3) 
olden	10 (9) 
older	10 (14) 
olive	10 (11) 
ombre	8 (6) 
omega	7 (2) 
onion	9 (6) 
onset	7 (1) 
opera	7 (1) 
opine	10 (6) 
opium	9 (4) 
optic	9 (4) 
orbit	8 (5) 
order	10 (7) 
organ	8 (2) 
other	8 (6) 
otter	9 (10) 
ought	7 (5) 
ounce	9 (3) 
outdo	9 (7) 
outer	9 (11) 
outgo	8 (4) 
ovary	8 (8) 
